"","1. ","2. ","3. ","4. ","5. ","6. ","7. ","8. ","9. ","10. ","11. ","12. ","13. ","14. ","15. ","16. ","17. ","18. ","19. ","20. ","21. ","22. ","23. ","24. ","25. ","26. ","27. ","28. ","29. ","30. ","31. ","32. ","33. ","34. ","35. ","36. ","37. ","38. "
"1. Mother Anger T1",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Mother Anger T2",0.62,"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Mother Anger T3",0.6,"0.67","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Mother Anger T4",0.55,"0.63","0.72","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Father Anger T1",0.34,"0.36","0.35","0.3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Father Anger T2",0.33,"0.41","0.4","0.37","0.59","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7. Father Anger T3",0.3,"0.35","0.4","0.37","0.55","0.67","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Father Anger T4",0.32,"0.39","0.43","0.46","0.54","0.66","0.67","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. Mother Consistency T1",-0.4,"-0.26","-0.29","-0.26","-0.16","-0.08","-0.13","-0.12","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10. Mother Consistency T2",-0.28,"-0.35","-0.29","-0.27","-0.19","-0.12","-0.14","-0.15","0.63","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11. Mother Consistency T3",-0.29,"-0.33","-0.39","-0.31","-0.21","-0.15","-0.18","-0.18","0.6","0.65","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12. Mother Consistency T4",-0.28,"-0.3","-0.32","-0.39","-0.17","-0.12","-0.13","-0.15","0.57","0.6","0.66","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13. Father Consistency T1",-0.14,"-0.1","-0.11","-0.08","-0.31","-0.16","-0.18","-0.17","0.32","0.27","0.3","0.26","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"14. Father Consistency T2",-0.12,"-0.16","-0.14","-0.11","-0.26","-0.33","-0.27","-0.27","0.25","0.3","0.3","0.23","0.6","1","","","","","","","","","","","","","","","","","","","","","","","",""
"15. Father Consistency T3",-0.15,"-0.14","-0.17","-0.15","-0.27","-0.26","-0.38","-0.28","0.24","0.25","0.31","0.27","0.54","0.64","1","","","","","","","","","","","","","","","","","","","","","","",""
"16. Father Consistency T4",-0.14,"-0.14","-0.17","-0.15","-0.24","-0.21","-0.25","-0.36","0.24","0.27","0.3","0.29","0.54","0.59","0.61","1","","","","","","","","","","","","","","","","","","","","","",""
"17. Mother Quant. inv. T1",-0.01,"-0.03","-0.01","-0.02","0","0.02","0.01","0","-0.02","0.01","0.04","0.03","-0.03","0.04","0.02","0.01","1","","","","","","","","","","","","","","","","","","","","",""
"18. Father Quant. inv. T1",0.01,"0.05","0","0.04","-0.05","-0.03","-0.04","-0.04","0.05","0.06","0.02","0.03","0.09","0.13","0.09","0.08","0.2","1","","","","","","","","","","","","","","","","","","","",""
"19. Mother Reasoning T1",-0.14,"-0.11","-0.11","-0.08","-0.06","-0.07","-0.06","-0.02","0.22","0.2","0.19","0.18","0.11","0.12","0.08","0.05","0.07","0.04","1","","","","","","","","","","","","","","","","","","",""
