"","1","2","",""
"emo","","","",""
"ChiSqM_Value","349.49","410.88","61.39",""
"ChiSqM_DF","134","149","15","0.00"
"AIC","30573.39","30604.78","31.39",""
"aBIC","30794.15","30791.04","-3.10",""
"RMSEA_Estimate","0.03","0.03","0.00",""
"CFI","0.97","0.96","-0.01",""
"TLI","0.96","0.95","-0.00",""
"involvement","","","",""
"ChiSqM_Value","95.14","108.60","13.46",""
"ChiSqM_DF","29","34","5","0.02"
"AIC","40058.76","40062.21","3.46",""
"aBIC","40135.43","40128.24","-7.19",""
"RMSEA_Estimate","0.04","0.04","-0.00",""
"CFI","0.97","0.97","-0.00",""
"TLI","0.96","0.96","0.00",""
"anger","","","",""
"ChiSqM_Value","3516.91","3750.48","233.57",""
"ChiSqM_DF","956","998","42","0.00"
"AIC","139011.93","139161.50","149.57",""
"aBIC","139630.18","139682.85","52.68",""
"RMSEA_Estimate","0.04","0.04","0.00",""
"CFI","0.90","0.90","-0.01",""
"TLI","0.89","0.88","-0.00",""
"consistency","","","",""
"ChiSqM_Value","2197.72","2249.40","51.68",""
"ChiSqM_DF","632","667","35","0.03"
"AIC","131135.93","131117.61","-18.32",""
"aBIC","131661.90","131562.83","-99.06",""
"RMSEA_Estimate","0.04","0.04","0.00",""
"CFI","0.93","0.93","-0.00",""
"TLI","0.91","0.92","0.00",""
"reasoning","","","",""
"ChiSqM_Value","1616.51","1809.25","192.74",""
"ChiSqM_DF","500","531","31","0.00"
"AIC","89924.37","90055.10","130.74",""
"aBIC","90390.35","90449.58","59.22",""
"RMSEA_Estimate","0.04","0.04","0.00",""
"CFI","0.97","0.97","-0.00",""
"TLI","0.96","0.96","-0.00",""
"warmth","","","",""
"ChiSqM_Value","4082.46","4567.22","484.76",""
"ChiSqM_DF","956","998","42","0.00"
"AIC","111896.71","112297.47","400.76",""
"aBIC","112514.96","112818.83","303.87",""
"RMSEA_Estimate","0.04","0.04","0.00",""
"CFI","0.93","0.92","-0.01",""
"TLI","0.92","0.91","-0.01",""
