"Parameter","warmth est_sig","warmth confint","consistency est_sig","consistency confint","reason est_sig","reason confint","anger est_sig","anger confint"
"Between-family level correlations",NA,NA,NA,NA,NA,NA,NA,NA
"Mother with Emo.","0.00","[-0.00,  0.01]","0.01*","[ 0.00,  0.01]","-0.01*","[-0.01,  0.00]","-0.01*","[-0.02, -0.01]"
"Father with Emo.","-0.00","[-0.01,  0.01]","0.01*","[ 0.00,  0.02]","-0.01*","[-0.01, -0.00]","-0.01*","[-0.02, -0.01]"
"Mother with Father","0.08*","[ 0.07,  0.10]","0.09*","[ 0.07,  0.10]","0.07*","[ 0.05,  0.09]","0.10*","[ 0.09,  0.11]"
"Within-family level correlations",NA,NA,NA,NA,NA,NA,NA,NA
"Emo. with Mother","0.00*","[ 0.00,  0.01]","0.00*","[ 0.00,  0.01]","-0.00","[-0.00,  0.00]","-0.00","[-0.00,  0.00]"
"Father with Emo.","0.01*","[ 0.00,  0.01]","0.00","[-0.00,  0.01]","0.00*","[ 0.00,  0.01]","-0.00","[-0.00,  0.00]"
"Father with Mother","0.02*","[ 0.02,  0.03]","0.02*","[ 0.02,  0.03]","0.02*","[ 0.01,  0.03]","0.02*","[ 0.01,  0.02]"
"Intercepts of parenting effects",NA,NA,NA,NA,NA,NA,NA,NA
"(Emo. on Mother)","0.19*","[ 0.00,  0.38]","0.01","[-0.17,  0.19]","0.06","[-0.07,  0.18]","-0.04","[-0.15,  0.07]"
"(Emo. on Father)","-0.13","[-0.36,  0.11]","-0.05","[-0.31,  0.19]","-0.08","[-0.31,  0.14]","0.04","[-0.23,  0.32]"
"Intercepts of child effects",NA,NA,NA,NA,NA,NA,NA,NA
"(Mother on Emo.)","0.19*","[ 0.05,  0.31]","0.13","[-0.06,  0.31]","0.40*","[ 0.19,  0.61]","0.16*","[ 0.03,  0.31]"
"(Father on Emo.)","0.14*","[-0.00,  0.29]","0.16","[-0.05,  0.36]","0.06","[-0.16,  0.28]","0.00","[-0.18,  0.17]"
"Effects of quantitative involvement on parenting and adjustment",NA,NA,NA,NA,NA,NA,NA,NA
"Mother on Joint","0.09*","[ 0.03,  0.14]","0.06*","[ 0.01,  0.12]","0.16*","[ 0.10,  0.22]","0.00","[-0.04,  0.05]"
